# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gpt-5-mini
#   API Key: OPENAI_API_KEY
#   Batch Size: 70
#   Number of Examples: 192
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#
# 140 items. Usage info: prompt=88023, candidates=27762, total=115785, time=383901ms, TPS=13828.290468986384.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✓ | ⠐⠣⠋⠐⠤⠛⠐⠜⠐⠣⠼⠙⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠰⠰⠐⠣⠷⠋⠨⠌⠛⠾⠐⠜⠐⠣⠼⠙⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠎⠐⠣⠞⠐⠜⠀⠐⠶⠀⠼⠑⠐⠤⠼⠉⠞⠲ | <math> <mrow> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>-</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>t</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>-</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>t</mi> </mrow> </mrow> </mrow> </math>
✗ | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠐⠣⠷⠎⠨⠌⠗⠾⠐⠜⠐⠣⠞⠐⠜ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>s</mi> <mi>r</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mfrac> <mi>s</mi> <mi>r</mi> </mfrac> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠟⠐⠣⠞⠐⠜⠀⠐⠶⠀⠐⠣⠎⠐⠴⠗⠐⠜⠐⠣⠞⠐⠜ | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠰⠎ | <math> <mi>s</mi> </math> | <math> <mi>S</mi> </math>
✗ | ⠰⠽⠀⠐⠶⠀⠎⠐⠣⠞⠐⠜ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>Y</mi> <mo>=</mo> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠰⠽⠀⠐⠶⠀⠛⠐⠣⠭⠐⠜ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>Y</mi> <mo>=</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠐⠣⠎⠐⠲⠛⠐⠜⠐⠣⠼⠁⠐⠜ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>·</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠐⠣⠎⠐⠴⠛⠐⠜⠐⠣⠼⠁⠲⠑⠐⠜ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1.5</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1.5</mn> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠰⠙⠂⠀ | <math> <mrow> <mi>d</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>D</mi> <mo>.</mo> </mrow> </math>
✗ | ⠼⠃⠲⠙ | <math> <mn>2.4</mn> </math> | <math> <mrow> <mn>2.</mn> <mo>⁢</mo> <mi>d</mi> </mrow> </math>
✗ | ⠼⠃⠋⠲⠃ | <math> <mn>26.2</mn> </math> | <math> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>f</mi> <mo>⁢</mo> <mn>.2</mn> </mrow> </math>
✗ | ⠼⠚⠲⠚⠑ | <math> <mn>0.05</mn> </math> | <math> <mn>0.95</mn> </math>
✗ | ⠼⠚⠲⠚⠉ | <math> <mn>0.03</mn> </math> | <math> <mn>0.93</mn> </math>
✓ | ⠎⠐⠣⠞⠐⠜ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠉⠕⠎⠐⠣⠞⠐⠜ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠰⠰⠰⠐⠣⠐⠤⠷⠨⠏⠨⠌⠼⠃⠾⠂⠀⠷⠨⠏⠨⠌⠼⠃⠾⠐⠜⠂⠀⠰⠄ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>,</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>,</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>)</mo> </mrow> </math>
✗ | ⠰⠞⠀⠐⠶⠀⠜⠉⠞⠁⠝⠐⠣⠽⠐⠜⠲ | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mi>arctan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>T</mi> <mo>=</mo> <mrow> <mi>cot</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠎⠑⠉⠐⠣⠞⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>sec</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>sec</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠎⠔⠐⠣⠞⠐⠜⠀⠐⠶⠈⠱⠀⠼⠚⠂⠀ | <math> <mrow> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>2</mn> </mrow> </math>
✗ | ⠉⠎⠉⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠨⠌⠎⠊⠝⠐⠣⠞⠐⠜⠾⠲ | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>1</mn> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <--bad MathML--><math><mfrac><mn>1</mn><mi>sin</mi><mo>(</mo><mi>t</mi><mo>)</mo></mfrac></math>
✗ | ⠉⠕⠞⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠷⠉⠕⠎⠐⠣⠞⠐⠜⠨⠌⠎⠊⠝⠐⠣⠞⠐⠜⠾⠲ | <math> <mrow> <mrow> <mrow> <mi>cot</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <--bad MathML--><math><mfrac><mi>cos</mi><mo>(</mo><mi>t</mi><mo>)</mo><mi>sin</mi><mo>(</mo><mi>t</mi><mo>)</mo></mfrac></math>
✗ | ⠎⠔⠐⠣⠨⠹⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠞⠁⠝⠐⠣⠨⠹⠐⠜ | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠨⠹⠲ | <math> <mrow> <mi>θ</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>θ</mi> <mo>.</mo> </mrow> </math>
✓ | ⠨⠁ | <math> <mi>α</mi> </math> | <math> <mi>α</mi> </math>
✗ | ⠉⠎⠉⠐⠣⠨⠁⠐⠜⠀⠐⠶⠀⠼⠑⠌⠉⠂⠀ | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>5</mn> <mn>3</mn> </mfrac> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>5</mn> <mn>3</mn> </mfrac> </mrow> </math>
✓ | ⠼⠑⠂⠀ | <math> <mrow> <mn>5</mn> <mo>,</mo> </mrow> </math> | <math> <mrow> <mn>5</mn> <mo>,</mo> </mrow> </math>
✓ | ⠼⠙⠂⠀ | <math> <mrow> <mn>4</mn> <mo>,</mo> </mrow> </math> | <math> <mrow> <mn>4</mn> <mo>,</mo> </mrow> </math>
✓ | ⠎⠔⠐⠣⠨⠁⠐⠜⠀⠐⠶⠀⠼⠉⠌⠑ | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> </mrow> </math>
✗ | ⠼⠉⠌⠑⠲ | <math> <mrow> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> <mo>.</mo> </mrow> </math> | <math> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> </math>
✗ | ⠰⠰⠷⠩⠼⠃⠬⠨⠌⠼⠃⠾⠂⠀ | <math> <mrow> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> <mo>,</mo> </mrow> </math> | <math> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> </math>
✓ | ⠨⠃ | <math> <mi>β</mi> </math> | <math> <mi>β</mi> </math>
✓ | ⠨⠃⠲ | <math> <mrow> <mi>β</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>β</mi> <mo>.</mo> </mrow> </math>
✗ | ⠉⠕⠎⠐⠣⠞⠐⠜⠀⠐⠶⠀⠼⠚⠂⠀ | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> </math>
✗ | ⠸⠳⠉⠕⠎⠐⠣⠞⠐⠜⠸⠳⠀⠸⠈⠣⠀⠼⠁ | <math> <mrow> <mrow> <mo>|</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>|</mo> </mrow> <mo>≤</mo> <mn>1</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>arccos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mi>π</mi> <mn>1</mn> </mfrac> </mrow> </math>
✓ | ⠼⠚ | <math> <mn>0</mn> </math> | <math> <mn>0</mn> </math>
✗ | ⠰⠰⠷⠨⠏⠨⠌⠼⠙⠾ | <math> <mfrac> <mi>π</mi> <mn>4</mn> </mfrac> </math> | <math> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </math>
✗ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mi>f</mi> <mo>)</mo> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math>
✓ | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞⠐⠖⠉ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> <mo>+</mo> <mi>c</mi> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> <mo>+</mo> <mi>c</mi> </mrow> </mrow> </math>
✗ | ⠼⠁⠚ | <math> <mn>10</mn> </math> | <math> <mn>12</mn> </math>
✗ | ⠼⠃⠐⠖⠼⠉⠀⠐⠶⠀⠼⠑⠒ | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>+</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>5</mn> </mrow> <mo>:</mo> </mrow> </math> | <math> <mrow> <mn>3</mn> <mo>=</mo> <mn>5</mn> </mrow> </math>
✓ | ⠼⠃ | <math> <mn>2</mn> </math> | <math> <mn>2</mn> </math>
✗ | ⠼⠃⠐⠲⠼⠉⠀⠐⠶⠀⠼⠋⠲ | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>⋅</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>6</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mn>2.3</mn> </math>
✗ | ⠰⠰⠰⠋⠒⠀⠠⠃⠀⠳⠕⠀⠠⠉⠂⠀⠰⠄ | <math> <mrow> <mrow> <mi>f</mi> <mo>:</mo> <mrow> <mi>B</mi> <mo>→</mo> <mi>C</mi> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>B</mi> <mo>,</mo> </mrow> </math>
✗ | ⠐⠣⠋⠐⠴⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠛⠐⠣⠭⠐⠜⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠰⠛ | <math> <mi>g</mi> </math> | <math> <mi>g</mi> </math>
✓ | ⠰⠋ | <math> <mi>f</mi> </math> | <math> <mi>f</mi> </math>
✓ | ⠰⠟ | <math> <mi>q</mi> </math> | <math> <mi>q</mi> </math>
✓ | ⠰⠟⠂⠀ | <math> <mrow> <mi>q</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>q</mi> <mo>,</mo> </mrow> </math>
✓ | ⠰⠏⠲ | <math> <mrow> <mi>p</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>p</mi> <mo>.</mo> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠰⠛⠲ | <math> <mrow> <mi>g</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>g</mi> <mo>.</mo> </mrow> </math>
✗ | ⠓⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠭⠐⠜⠐⠖⠛⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </math>
✗ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠐⠤⠟⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>2</mn> </mrow> </math>
✗ | ⠅⠐⠣⠼⠚⠐⠜⠲ | <math> <mrow> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠎⠐⠣⠼⠁⠐⠜ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math>
# Matches: 65 out of 140: 46%.
