# Configuration:
#   Braille Code: ueb
#   Generate Braille: True
#   Model: gemini-3-pro-preview 
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2352
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 320 items. Usage info: prompt=2471475, candidates=20134, total=2586930, time=98951ms, TPS=4914.622032383034.2f
#
# Match | Test Input | Expected | Computed
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>÷</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></math> | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾ | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾
✓ | <math><mrow><mn>70</mn><mo>+</mo><mfrac><mn>9</mn><msqrt><mn>100</mn></msqrt></mfrac><mo>=</mo><mn>70.9</mn></mrow></math> | ⠼⠛⠚⠐⠖⠷⠼⠊⠨⠌⠩⠼⠁⠚⠚⠬⠾⠀⠐⠶⠀⠼⠛⠚⠲⠊ | ⠼⠛⠚⠐⠖⠷⠼⠊⠨⠌⠩⠼⠁⠚⠚⠬⠾⠀⠐⠶⠀⠼⠛⠚⠲⠊
✓ | <math><mrow><mtext>−</mtext><msup><mn>125</mn><mfrac><mn>1</mn><mn>3</mn></mfrac></msup></mrow></math> | ⠐⠤⠼⠁⠃⠑⠔⠼⠁⠌⠉ | ⠐⠤⠼⠁⠃⠑⠔⠼⠁⠌⠉
✗ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="left"><mrow><msup><mn>2</mn><mrow><mn>5</mn><mi>x</mi></mrow></msup><mo>=</mo><msup><mn>2</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></msup></mrow></mtd><mtd columnalign="left"><mrow><mtext>Write the square root of  2 as a power of</mtext><mspace width="0.5em"></mspace><mn>2.</mn></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mn>5</mn><mi>x</mi><mo>=</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow></mtd><mtd columnalign="left"><mrow><mtext>Use the one-to-one property</mtext><mo>.</mo></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mi>x</mi><mo>=</mo><mfrac><mn>1</mn><mn>10</mn></mfrac></mrow></mtd><mtd columnalign="left"><mrow><mtext>Solve for</mtext><mspace width="0.5em"></mspace><mi>x</mi><mo>.</mo></mrow></mtd></mtr></mtable></math> | ⠠⠼⠃⠔⠣⠼⠑⠭⠜⠀⠐⠶⠀⠼⠃⠔⠼⠁⠌⠃⠀⠠⠺⠗⠊⠞⠑⠀⠮⠀⠎⠟⠥⠜⠑⠀⠗⠕⠕⠞⠀⠷⠀⠼⠃⠀⠁⠎⠀⠁⠀⠏⠪⠻⠀⠷⠀⠼⠃⠲⠠⠠⠼⠑⠭⠀⠐⠶⠀⠼⠁⠌⠃⠀⠠⠥⠎⠑⠀⠮⠀⠕⠝⠑⠤⠞⠕⠤⠕⠝⠑⠀⠏⠗⠕⠏⠻⠞⠽⠲⠠⠠⠭⠀⠐⠶⠀⠼⠁⠌⠁⠚⠀⠠⠎⠕⠇⠧⠑⠀⠿⠀⠭⠲⠠ | ⠼⠃⠔⠣⠼⠑⠭⠜⠀⠐⠶⠀⠼⠃⠔⠼⠁⠌⠃⠀⠠⠺⠗⠊⠞⠑⠀⠮⠀⠎⠟⠥⠁⠗⠑⠀⠗⠕⠕⠞⠀⠷⠀⠼⠃⠀⠁⠎⠀⠁⠀⠏⠪⠻⠀⠷⠀⠼⠃⠲⠠⠠⠼⠑⠭⠀⠐⠶⠀⠼⠁⠌⠃⠀⠠⠥⠎⠑⠀⠮⠀⠕⠝⠑⠤⠞⠕⠤⠕⠝⠑⠀⠏⠗⠕⠏⠻⠞⠽⠲⠠⠠⠭⠀⠐⠶⠀⠼⠁⠌⠁⠚⠀⠠⠎⠕⠇⠧⠑⠀⠿⠀⠭⠲
✓ | <math><mn>2014</mn></math> | ⠼⠃⠚⠁⠙ | ⠼⠃⠚⠁⠙
✗ | <math><mrow><mtext>$8.54</mtext><mo>.</mo></mrow></math> | ⠈⠎⠼⠓⠲⠼⠑⠙⠲ | ⠈⠎⠼⠓⠲⠑⠙⠲
✓ | <math><mn>50</mn></math> | ⠼⠑⠚ | ⠼⠑⠚
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>450</mn></math> | ⠼⠙⠑⠚ | ⠼⠙⠑⠚
✗ | <math><mrow><msup><msub><mi>σ</mi><mi>p'</mi></msub><mn>2</mn></msup><mo>=</mo><mtext>Var</mtext><mo stretchy="false">(</mo><mi>p</mi><mo>'</mo><mo stretchy="false">)</mo><mo>=</mo><mtext>Var</mtext><mo>(</mo><mfrac><mi>x</mi><mi>n</mi></mfrac><mo>)</mo><mo>=</mo><mfrac><mn>1</mn><msup><mi>n</mi><mn>2</mn></msup></mfrac><mo stretchy="false">(</mo><mtext>Var</mtext><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><msup><mi>n</mi><mn>2</mn></msup></mfrac><mo stretchy="false">(</mo><mi>n</mi><mi>p</mi><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><mi>p</mi><mo stretchy="false">)</mo><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo>(</mo><mn>1</mn><mo>−</mo><mi>p</mi><mo>)</mo></mrow><mi>n</mi></mfrac></mrow></math> | ⠰⠰⠰⠨⠎⠢⠣⠏⠶⠜⠔⠼⠃⠀⠐⠶⠀⠠⠧⠁⠗⠐⠣⠏⠶⠐⠜⠀⠐⠶⠀⠠⠧⠁⠗⠐⠣⠷⠭⠨⠌⠝⠾⠐⠜⠀⠐⠶⠀⠷⠼⠁⠨⠌⠝⠔⠼⠃⠾⠐⠣⠠⠧⠁⠗⠐⠣⠭⠐⠜⠐⠜⠀⠐⠶⠀⠷⠼⠁⠨⠌⠝⠔⠼⠃⠾⠐⠣⠝⠏⠐⠣⠼⠁⠐⠤⠏⠐⠜⠐⠜⠀⠐⠶⠀⠷⠏⠐⠣⠼⠁⠐⠤⠏⠐⠜⠨⠌⠝⠾⠰⠄ | ⠰⠰⠰⠨⠎⠢⠣⠏⠶⠜⠔⠼⠃⠀⠐⠶⠀⠠⠧⠁⠗⠐⠣⠏⠶⠐⠜⠀⠐⠶⠀⠠⠧⠁⠗⠐⠣⠷⠭⠨⠌⠝⠾⠐⠜⠀⠐⠶⠀⠷⠼⠁⠨⠌⠝⠔⠼⠃⠾⠐⠣⠠⠧⠁⠗⠐⠣⠭⠐⠜⠐⠜⠀⠐⠶⠀⠷⠼⠁⠨⠌⠝⠔⠼⠃⠾⠐⠣⠝⠏⠐⠣⠼⠁⠐⠤⠏⠐⠜⠐⠜⠀⠐⠶⠀⠷⠏⠐⠣⠼⠁⠐⠤⠏⠐⠜⠨⠌⠝⠾
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mi>θ</mi><mtext>?</mtext></math> | ⠰⠰⠞⠁⠝⠨⠹⠦ | ⠞⠁⠝⠀⠨⠹⠦
✓ | <math><mn>10</mn></math> | ⠼⠁⠚ | ⠼⠁⠚
✓ | <math><mrow><mo>{</mo><mn>25</mn><mtext>, </mtext><mo> </mo><mn>37</mn><mtext>, </mtext><mo> </mo><mn>49</mn><mtext>, </mtext><mo> </mo><mn>61</mn><mtext>, </mtext><mo> </mo><mtext>…</mtext><mo>}</mo></mrow></math> | ⠸⠣⠼⠃⠑⠂⠀⠼⠉⠛⠂⠀⠼⠙⠊⠂⠀⠼⠋⠁⠂⠀⠲⠲⠲⠸⠜ | ⠸⠣⠼⠃⠑⠂⠀⠼⠉⠛⠂⠀⠼⠙⠊⠂⠀⠼⠋⠁⠂⠀⠲⠲⠲⠸⠜
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>U</mi><mtext>,</mtext></math> | ⠰⠠⠥⠂⠀ | ⠠⠥⠂
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mn>1</mn><mtext> </mtext></math> | ⠀⠼⠁⠀ | ⠼⠁
✓ | <math><mrow><mi>f</mi><mo>−</mo><mi>g</mi></mrow></math> | ⠋⠐⠤⠛ | ⠋⠐⠤⠛
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mi/><mrow><mo>∘</mo></mrow></msup></math> | ⠀⠘⠚ | ⠘⠚
✗ | <math><msqrt><mn>12</mn></msqrt></math> | ⠰⠩⠼⠁⠃⠬ | ⠩⠼⠁⠃⠬
✗ | <math><mrow><mi>P</mi><mo>=</mo><mfrac><mrow><mi>d</mi><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>1</mn><mo>−</mo><msup><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>1</mn><mo>+</mo><mfrac><mi>r</mi><mi>n</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mrow data-mjx-texclass="ORD"><mo>−</mo><mi>n</mi><mi>t</mi></mrow></msup><mo data-mjx-texclass="CLOSE">)</mo></mrow></mrow><mfrac><mi>r</mi><mi>n</mi></mfrac></mfrac><mtext> or </mtext><mi>d</mi><mo>=</mo><mfrac><mrow><mi>P</mi><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>r</mi><mi>n</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow></mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>1</mn><mo>−</mo><msup><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>1</mn><mo>+</mo><mfrac><mi>r</mi><mi>n</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mrow data-mjx-texclass="ORD"><mo>−</mo><mi>n</mi><mi>t</mi></mrow></msup><mo data-mjx-texclass="CLOSE">)</mo></mrow></mfrac></mrow></math> | ⠰⠰⠰⠠⠏⠀⠐⠶⠀⠷⠙⠐⠣⠼⠁⠐⠤⠐⠣⠼⠁⠐⠖⠷⠗⠨⠌⠝⠾⠐⠜⠔⠣⠐⠤⠝⠞⠜⠐⠜⠨⠌⠷⠗⠨⠌⠝⠾⠾⠀⠕⠗⠀⠙⠀⠐⠶⠀⠷⠠⠏⠐⠣⠷⠗⠨⠌⠝⠾⠐⠜⠨⠌⠐⠣⠼⠁⠐⠤⠐⠣⠼⠁⠐⠖⠷⠗⠨⠌⠝⠾⠐⠜⠔⠣⠐⠤⠝⠞⠜⠐⠜⠾⠰⠄ | ⠰⠰⠰⠠⠏⠀⠐⠶⠀⠷⠙⠐⠣⠼⠁⠐⠤⠐⠣⠼⠁⠐⠖⠷⠗⠨⠌⠝⠾⠐⠜⠔⠣⠐⠤⠝⠞⠜⠐⠜⠨⠌⠷⠗⠨⠌⠝⠾⠾⠀⠕⠗⠀⠙⠀⠐⠶⠀⠷⠠⠏⠐⠣⠷⠗⠨⠌⠝⠾⠐⠜⠨⠌⠐⠣⠼⠁⠐⠤⠐⠣⠼⠁⠐⠖⠷⠗⠨⠌⠝⠾⠐⠜⠔⠣⠐⠤⠝⠞⠜⠐⠜⠾
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>10</mn></math> | ⠼⠁⠚ | ⠼⠁⠚
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mo stretchy="false">(</mo><mn>2</mn><mi>x</mi><msup><mo stretchy="false">)</mo><mn>2</mn></msup></mstyle></math> | ⠐⠣⠼⠃⠭⠐⠜⠔⠼⠃ | ⠐⠣⠼⠃⠭⠐⠜⠔⠼⠃
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>2</mn></math> | ⠼⠃ | ⠼⠃
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>6</mn><mi>a</mi><mi>b</mi></mrow><mrow><mn>2</mn><mi>a</mi><mo>+</mo><mi>b</mi></mrow></mfrac></mstyle><mo>÷</mo><mo stretchy="false">(</mo><mn>4</mn><msup><mi>a</mi><mn>2</mn></msup><mi>b</mi><mo stretchy="false">)</mo></math> | ⠀⠰⠷⠼⠋⠰⠁⠃⠨⠌⠼⠃⠰⠁⠐⠖⠃⠾⠐⠌⠐⠣⠼⠙⠰⠁⠔⠼⠃⠰⠃⠐⠜ | ⠰⠷⠼⠋⠁⠃⠨⠌⠼⠃⠁⠐⠖⠃⠾⠐⠌⠐⠣⠼⠙⠁⠔⠼⠃⠃⠐⠜
✓ | <math><mi>δ</mi></math> | ⠨⠙ | ⠨⠙
✗ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | ⠏⠐⠣⠐⠤⠼⠃⠐⠜⠂⠀ | ⠏⠐⠣⠐⠤⠼⠃⠐⠜⠂
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mn>98</mn><mo>−</mo><mn>28</mn><msup><mi>x</mi><mn>4</mn></msup><mo>+</mo><mn>2</mn><msup><mi>x</mi><mn>8</mn></msup></math> | ⠀⠼⠊⠓⠐⠤⠼⠃⠓⠭⠔⠼⠙⠐⠖⠼⠃⠭⠔⠼⠓ | ⠼⠊⠓⠐⠤⠼⠃⠓⠭⠔⠼⠙⠐⠖⠼⠃⠭⠔⠼⠓
✗ | <math><mrow><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><msup><mi>b</mi><mn>2</mn></msup></mrow></math> | ⠁⠰⠔⠼⠃⠐⠤⠃⠔⠼⠃ | ⠁⠔⠼⠃⠐⠤⠃⠔⠼⠃
✓ | <math><msup><mn>2</mn><mrow><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>+</mo><mfrac><mn>5</mn><mn>2</mn></mfrac></mrow></msup></math> | ⠼⠃⠔⠣⠼⠁⠌⠃⠐⠖⠼⠑⠌⠃⠜ | ⠼⠃⠔⠣⠼⠁⠌⠃⠐⠖⠼⠑⠌⠃⠜
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>3</mn><mo>⋅</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mn>8</mn></mfrac></mstyle><mo>=</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>3</mn><mn>8</mn></mfrac></mstyle></math> | ⠼⠉⠐⠲⠼⠁⠌⠓⠀⠐⠶⠀⠼⠉⠌⠓ | ⠼⠉⠐⠲⠼⠁⠌⠓⠀⠐⠶⠀⠼⠉⠌⠓
✓ | <math><msup><mn>8</mn><mfrac><mn>5</mn><mn>3</mn></mfrac></msup></math> | ⠼⠓⠔⠼⠑⠌⠉ | ⠼⠓⠔⠼⠑⠌⠉
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mo stretchy="false">(</mo><mn>2</mn><mi>y</mi><mo>+</mo><mn>9</mn><mi>w</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>2</mn><mi>y</mi><mo>−</mo><mn>9</mn><mi>w</mi><mo stretchy="false">)</mo><mtext> </mtext></math> | ⠀⠐⠣⠼⠃⠽⠐⠖⠼⠊⠺⠐⠜⠐⠣⠼⠃⠽⠐⠤⠼⠊⠺⠐⠜⠀ | ⠐⠣⠼⠃⠽⠐⠖⠼⠊⠺⠐⠜⠐⠣⠼⠃⠽⠐⠤⠼⠊⠺⠐⠜
✗ | <math><mrow><msqrt><mi>a</mi></msqrt><mo>×</mo><msqrt><mi>b</mi></msqrt><mo>=</mo><msqrt><mrow><mi>a</mi><mo>×</mo><mi>b</mi></mrow></msqrt></mrow></math> | ⠰⠰⠰⠩⠁⠬⠐⠦⠩⠃⠬⠀⠐⠶⠀⠩⠁⠐⠦⠃⠬⠰⠄ | ⠰⠰⠩⠁⠬⠐⠦⠩⠃⠬⠀⠐⠶⠀⠩⠁⠐⠦⠃⠬
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>5</mn><mi>π</mi></mrow><mn>9</mn></mfrac></mstyle><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo>−</mo><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>9</mn></mfrac></mstyle><mo data-mjx-texclass="CLOSE">)</mo></mrow></mrow><mrow><mn>1</mn><mo>+</mo><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>5</mn><mi>π</mi></mrow><mn>9</mn></mfrac></mstyle><mo data-mjx-texclass="CLOSE">)</mo></mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>9</mn></mfrac></mstyle><mo data-mjx-texclass="CLOSE">)</mo></mrow></mrow></mfrac></mstyle></math> | ⠰⠰⠷⠞⠁⠝⠐⠣⠷⠼⠑⠨⠏⠨⠌⠼⠊⠾⠐⠜⠐⠤⠞⠁⠝⠐⠣⠷⠼⠃⠨⠏⠨⠌⠼⠊⠾⠐⠜⠨⠌⠼⠁⠐⠖⠞⠁⠝⠐⠣⠷⠼⠑⠨⠏⠨⠌⠼⠊⠾⠐⠜⠞⠁⠝⠐⠣⠷⠼⠃⠨⠏⠨⠌⠼⠊⠾⠐⠜⠾ | ⠰⠰⠷⠞⠁⠝⠐⠣⠷⠼⠑⠨⠏⠨⠌⠼⠊⠾⠐⠜⠐⠤⠞⠁⠝⠐⠣⠷⠼⠃⠨⠏⠨⠌⠼⠊⠾⠐⠜⠨⠌⠼⠁⠐⠖⠞⠁⠝⠐⠣⠷⠼⠑⠨⠏⠨⠌⠼⠊⠾⠐⠜⠞⠁⠝⠐⠣⠷⠼⠃⠨⠏⠨⠌⠼⠊⠾⠐⠜⠾
✗ | <math><mrow><mtext>$1.50</mtext><mo>.</mo></mrow></math> | ⠈⠎⠼⠁⠲⠼⠑⠚⠲ | ⠈⠎⠼⠁⠲⠑⠚⠲
✓ | <math><mrow><mi>x</mi><mo>=</mo><mn>2.</mn></mrow></math> | ⠰⠭⠀⠐⠶⠀⠼⠃⠲ | ⠰⠭⠀⠐⠶⠀⠼⠃⠲
✗ | <math><mfrac><mn>1</mn><mi>p</mi></mfrac></math> | ⠰⠷⠼⠁⠨⠌⠏⠾ | ⠷⠼⠁⠨⠌⠏⠾
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>4</mn><msup><mi>r</mi><mn>3</mn></msup><mo>−</mo><mn>8</mn><mo>=</mo><mn>100</mn></math> | ⠼⠙⠗⠔⠼⠉⠐⠤⠼⠓⠀⠐⠶⠀⠼⠁⠚⠚ | ⠼⠙⠗⠔⠼⠉⠐⠤⠼⠓⠀⠐⠶⠀⠼⠁⠚⠚
✓ | <math><mrow><mi>f</mi><mo>⋅</mo><mi>g</mi></mrow></math> | ⠋⠐⠲⠛ | ⠋⠐⠲⠛
✓ | <math><mi>y</mi></math> | ⠰⠽ | ⠰⠽
✓ | <math><mrow><mi>x</mi><mo>−</mo><mi>k</mi><mo>.</mo></mrow></math> | ⠭⠐⠤⠅⠲ | ⠭⠐⠤⠅⠲
✗ | <math><mrow><mi>P</mi><mo>(</mo><mi>A</mi><mo>|</mo><mi>B</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>A</mi><mo>∩</mo><mi>B</mi><mo stretchy="false">)</mo></mrow><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>B</mi><mo stretchy="false">)</mo></mrow></mfrac></mrow></math> | ⠰⠰⠰⠠⠠⠠⠏⠐⠣⠁⠀⠸⠳⠀⠃⠐⠜⠀⠐⠶⠀⠷⠏⠐⠣⠁⠨⠦⠃⠐⠜⠨⠌⠏⠐⠣⠃⠐⠜⠾⠠⠄⠰⠄ | ⠰⠰⠰⠠⠏⠐⠣⠠⠁⠀⠸⠳⠀⠠⠃⠐⠜⠀⠐⠶⠀⠷⠠⠏⠐⠣⠠⠁⠨⠦⠠⠃⠐⠜⠨⠌⠠⠏⠐⠣⠠⠃⠐⠜⠾⠰⠄
✓ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | ⠛⠐⠣⠭⠐⠜ | ⠛⠐⠣⠭⠐⠜
✗ | <math><mi>A</mi></math> | ⠠⠁ | ⠰⠠⠁
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtable displaystyle="true" columnalign="right left right left right left" columnspacing="0em 2em 0em 2em 0em" rowspacing="3pt" minlabelspacing=".8em"><mtr><mtd><mo stretchy="false">(</mo><mi>a</mi><mo>+</mo><mi>b</mi><msup><mo stretchy="false">)</mo><mn>2</mn></msup></mtd><mtd><mi/><mo>=</mo><mo stretchy="false">(</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo stretchy="false">)</mo></mtd><mtd/><mtd/><mtd><mi/><mo stretchy="false">(</mo><mi>a</mi><mo>−</mo><mi>b</mi><msup><mo stretchy="false">)</mo><mn>2</mn></msup></mtd><mtd><mi/><mo>=</mo><mo stretchy="false">(</mo><mi>a</mi><mo>−</mo><mi>b</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>a</mi><mo>−</mo><mi>b</mi><mo stretchy="false">)</mo></mtd></mtr><mtr><mtd/><mtd><mi/><mo>=</mo><msup><mi>a</mi><mn>2</mn></msup><mo>+</mo><mi>a</mi><mi>b</mi><mo>+</mo><mi>a</mi><mi>b</mi><mo>+</mo><msup><mi>b</mi><mn>2</mn></msup></mtd><mtd/><mtd/><mtd/><mtd><mi/><mo>=</mo><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><mi>a</mi><mi>b</mi><mo>−</mo><mi>a</mi><mi>b</mi><mo>+</mo><msup><mi>b</mi><mn>2</mn></msup></mtd></mtr><mtr><mtd/><mtd><mi/><mo>=</mo><msup><mi>a</mi><mn>2</mn></msup><mo>+</mo><mn>2</mn><mi>a</mi><mi>b</mi><mo>+</mo><msup><mi>b</mi><mn>2</mn></msup></mtd><mtd/><mtd/><mtd/><mtd><mi/><mo>=</mo><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mi>a</mi><mi>b</mi><mo>+</mo><msup><mi>b</mi><mn>2</mn></msup></mtd></mtr></mtable></math> | ⠰⠰⠰⠠⠐⠣⠁⠐⠖⠃⠐⠜⠔⠼⠃⠀⠐⠶⠀⠐⠣⠁⠐⠖⠃⠐⠜⠐⠣⠁⠐⠖⠃⠐⠜⠀⠬⠀⠬⠀⠐⠣⠁⠐⠤⠃⠐⠜⠔⠼⠃⠀⠐⠶⠀⠐⠣⠁⠐⠤⠃⠐⠜⠐⠣⠁⠐⠤⠃⠐⠜⠠⠠⠬⠀⠐⠶⠀⠁⠔⠼⠃⠐⠖⠁⠃⠐⠖⠁⠃⠐⠖⠃⠔⠼⠃⠀⠬⠀⠬⠀⠬⠀⠐⠶⠀⠁⠔⠼⠃⠐⠤⠁⠃⠐⠤⠁⠃⠐⠖⠃⠔⠼⠃⠠⠠⠬⠀⠐⠶⠀⠁⠔⠼⠃⠐⠖⠼⠃⠰⠁⠃⠐⠖⠃⠔⠼⠃⠀⠬⠀⠬⠀⠬⠀⠐⠶⠀⠁⠔⠼⠃⠐⠤⠼⠃⠰⠁⠃⠐⠖⠃⠔⠼⠃⠠⠰⠄ | ⠰⠰⠰⠐⠣⠁⠐⠖⠃⠐⠜⠔⠼⠃⠀⠐⠶⠀⠐⠣⠁⠐⠖⠃⠐⠜⠐⠣⠁⠐⠖⠃⠐⠜⠀⠐⠣⠁⠐⠤⠃⠐⠜⠔⠼⠃⠀⠐⠶⠀⠐⠣⠁⠐⠤⠃⠐⠜⠐⠣⠁⠐⠤⠃⠐⠜⠠⠠⠀⠐⠶⠀⠁⠔⠼⠃⠐⠖⠁⠃⠐⠖⠁⠃⠐⠖⠃⠔⠼⠃⠀⠐⠶⠀⠁⠔⠼⠃⠐⠤⠁⠃⠐⠤⠁⠃⠐⠖⠃⠔⠼⠃⠠⠠⠀⠐⠶⠀⠁⠔⠼⠃⠐⠖⠼⠃⠁⠃⠐⠖⠃⠔⠼⠃⠀⠐⠶⠀⠁⠔⠼⠃⠐⠤⠼⠃⠁⠃⠐⠖⠃⠔⠼⠃⠰⠄
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtable columnalign="right left right left right left right left right left right left" rowspacing="3pt" columnspacing="0em 2em 0em 2em 0em 2em 0em 2em 0em 2em 0em" minlabelspacing=".8em" displaystyle="true"><mtr><mtd><msub><mi>y</mi><mtext>new</mtext></msub></mtd><mtd><mi/><mo>=</mo><mi>k</mi><mo stretchy="false">(</mo><mi>c</mi><mi>x</mi><msup><mo stretchy="false">)</mo><mi>n</mi></msup></mtd></mtr><mtr><mtd/><mtd><mi/><mo>=</mo><msup><mi>c</mi><mi>n</mi></msup><mo stretchy="false">(</mo><mi>k</mi><msup><mi>x</mi><mi>n</mi></msup><mo stretchy="false">)</mo><mo>=</mo><msup><mi>c</mi><mi>n</mi></msup><mo stretchy="false">(</mo><msub><mi>y</mi><mtext>old</mtext></msub><mo stretchy="false">)</mo></mtd></mtr></mtable></math> | ⠰⠰⠰⠠⠽⠢⠣⠝⠑⠺⠜⠀⠐⠶⠀⠅⠐⠣⠉⠭⠐⠜⠔⠝⠠⠠⠬⠀⠐⠶⠀⠉⠔⠝⠐⠣⠅⠭⠔⠝⠐⠜⠀⠐⠶⠀⠉⠔⠝⠐⠣⠽⠢⠣⠕⠇⠙⠜⠐⠜⠠⠰⠄ | ⠰⠰⠰⠽⠢⠝⠑⠺⠀⠐⠶⠀⠅⠐⠣⠉⠭⠐⠜⠔⠝⠠⠠⠀⠐⠶⠀⠉⠔⠝⠐⠣⠅⠭⠔⠝⠐⠜⠀⠐⠶⠀⠉⠔⠝⠐⠣⠽⠢⠕⠇⠙⠐⠜⠰⠄
✗ | <math><msup><mi>a</mi><mi>m</mi></msup></math> | ⠁⠰⠔⠍ | ⠁⠔⠍
✗ | <math><mtext>6.4%</mtext></math> | ⠼⠋⠲⠼⠙⠨⠴ | ⠼⠋⠲⠙⠨⠴
