# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro
#   API Key: GEMINI_API_KEY
#   Batch Size: 70
#   Number of Examples: 192
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#
# 200 items. Usage info: prompt=79456, candidates=9128, total=122274, time=212739ms, TPS=23306.20070113935.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠭⠔⠼⠃⠐⠖⠼⠙ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math>
✓ | ⠋⠐⠖⠛ | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math>
✓ | ⠋⠐⠤⠛ | <math> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> </math>
✗ | ⠋⠐⠲⠛ | <math> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>·</mo> <mi>g</mi> </mrow> </math>
✓ | ⠰⠰⠷⠋⠨⠌⠛⠾ | <math> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> </math> | <math> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> </math>
✓ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠈⠱⠀⠼⠚⠲ | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mn>0</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mn>0</mn> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠐⠣⠼⠉⠂⠀⠐⠤⠼⠚⠲⠑⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mn>3</mn> <mo>,</mo> <mrow> <mo>-</mo> <mn>0.5</mn> </mrow> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mn>3</mn> <mo>,</mo> <mrow> <mo>-</mo> <mn>0.5</mn> </mrow> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠐⠣⠐⠤⠼⠁⠂⠀⠼⠉⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>,</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>,</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠐⠣⠋⠐⠖⠛⠐⠜⠐⠣⠼⠚⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠐⠤⠼⠁⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>·</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>·</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math>
✓ | ⠠⠏⠐⠣⠞⠐⠜ | <math> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠠⠠⠁⠧⠰⠢⠨⠣⠼⠑⠂⠀⠼⠁⠁⠨⠜⠂⠀ | <math> <mrow> <mrow> <mi>A</mi> <mo>⁢</mo> <msub> <mi>V</mi> <mrow> <mo>[</mo> <mrow> <mn>5</mn> <mo>,</mo> <mn>11</mn> </mrow> <mo>]</mo> </mrow> </msub> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <msub> <mi>Av</mi> <mrow> <mo>[</mo> <mrow> <mn>5</mn> <mo>,</mo> <mn>11</mn> </mrow> <mo>]</mo> </mrow> </msub> <mo>,</mo> </mrow> </math>
✓ | ⠼⠁⠁⠲ | <math> <mrow> <mn>11</mn> <mo>.</mo> </mrow> </math> | <math> <mrow> <mn>11</mn> <mo>.</mo> </mrow> </math>
✓ | ⠰⠞⠂⠀ | <math> <mrow> <mi>t</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>t</mi> <mo>,</mo> </mrow> </math>
✓ | ⠠⠎⠐⠣⠞⠐⠜ | <math> <mrow> <mi>S</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>S</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠠⠧⠐⠣⠞⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>V</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>V</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠠⠧⠐⠣⠞⠐⠜⠀⠐⠶⠀⠠⠝⠐⠣⠞⠐⠜⠐⠲⠠⠎⠐⠣⠞⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>V</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>N</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>⋅</mo> <mrow> <mi>S</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>V</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>N</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>·</mo> <mrow> <mi>S</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠋⠐⠣⠧⠐⠜ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠋⠐⠣⠼⠋⠚⠐⠜⠀⠐⠶⠀⠼⠚⠲⠚⠙ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.04</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.04</mn> </mrow> </math>
✓ | ⠛⠐⠣⠼⠋⠚⠐⠜⠦ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>?</mo> </mrow> </math>
✗ | ⠓⠐⠣⠧⠐⠜⠀⠐⠶⠀⠧⠐⠲⠋⠐⠣⠧⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>v</mi> <mo>⋅</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>v</mi> <mo>·</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠓⠰⠦ | <math> <mrow> <mi>h</mi> <mo>?</mo> </mrow> </math> | <math> <mrow> <mi>h</mi> <mo>?</mo> </mrow> </math>
✓ | ⠋⠐⠣⠼⠋⠚⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠓⠐⠣⠼⠋⠚⠐⠜ | <math> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠨⠣⠼⠋⠚⠂⠀⠼⠛⠚⠨⠜⠲ | <math> <mrow> <mrow> <mo>[</mo> <mrow> <mn>60</mn> <mo>,</mo> <mn>70</mn> </mrow> <mo>]</mo> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>[</mo> <mrow> <mn>60</mn> <mo>,</mo> <mn>70</mn> </mrow> <mo>]</mo> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠠⠁⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠳⠭⠸⠳⠲ | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠸⠳⠭⠸⠳⠀⠐⠶⠀⠰⠭⠂⠀ | <math> <mrow> <mrow> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> <mo>=</mo> <mi>x</mi> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> <mo>=</mo> <mi>x</mi> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠸⠳⠭⠸⠳⠀⠐⠶⠀⠐⠤⠭⠲ | <math> <mrow> <mrow> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mi>x</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mi>x</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠰⠰⠰⠠⠁⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠣⠠⠐⠤⠭⠂⠀⠭⠀⠈⠣⠀⠼⠚⠠⠠⠭⠂⠀⠭⠀⠸⠈⠜⠀⠼⠚⠠⠈⠣⠍⠕⠀⠙⠁⠞⠁⠐⠤⠍⠚⠭⠐⠤⠞⠑⠭⠉⠇⠁⠎⠎⠐⠶⠠⠶⠠⠠⠉⠇⠕⠎⠑⠠⠶⠀⠋⠑⠝⠉⠑⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠞⠗⠑⠞⠉⠓⠽⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠸⠌⠈⠜⠰⠄ | <math> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mtable> <mtr> <mtd> <mrow> <mrow> <mo>-</mo> <mi>x</mi> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mi>x</mi> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mn>0</mn> </mrow> </mtd> </mtr> </mtable> <mo fence="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mtable> <mtr> <mtd> <mrow> <mrow> <mo>-</mo> <mi>x</mi> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mi>x</mi> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mn>0</mn> </mrow> </mtd> </mtr> </mtable> </mrow> </mrow> </math>
✓ | ⠰⠽⠀⠐⠶⠀⠐⠤⠭ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mo>-</mo> <mi>x</mi> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mo>-</mo> <mi>x</mi> </mrow> </mrow> </math>
✗ | ⠰⠰⠰⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠣⠠⠐⠤⠐⠣⠭⠐⠖⠼⠃⠐⠜⠔⠼⠃⠐⠖⠼⠃⠂⠀⠭⠀⠈⠣⠀⠼⠚⠠⠠⠼⠁⠌⠃⠐⠣⠭⠐⠤⠼⠃⠐⠜⠔⠼⠃⠐⠖⠼⠁⠂⠀⠭⠀⠸⠈⠜⠀⠼⠚⠠⠈⠣⠍⠕⠀⠙⠁⠞⠁⠐⠤⠍⠚⠭⠐⠤⠞⠑⠭⠉⠇⠁⠎⠎⠐⠶⠠⠶⠠⠠⠉⠇⠕⠎⠑⠠⠶⠀⠋⠑⠝⠉⠑⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠞⠗⠑⠞⠉⠓⠽⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠸⠌⠈⠜⠰⠄ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mtable> <mtr> <mtd> <mrow> <mrow> <mrow> <mo>-</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>2</mn> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mrow> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>1</mn> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mn>0</mn> </mrow> </mtd> </mtr> </mtable> <mo fence="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mtable> <mtr> <mtd> <mrow> <mrow> <mrow> <mo>-</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>2</mn> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mrow> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>1</mn> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mn>0</mn> </mrow> </mtd> </mtr> </mtable> </mrow> </mrow> </math>
✗ | ⠏⠐⠣⠐⠤⠼⠃⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠏⠐⠣⠼⠃⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠰⠭⠀⠈⠣⠀⠼⠚⠦ | <math> <mrow> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math>
✗ | ⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math>
✗ | ⠏⠰⠦ | <math> <mrow> <mi>p</mi> <mo>?</mo> </mrow> </math> | <math> <mrow> <mi>P</mi> <mo>?</mo> </mrow> </math>
✗ | ⠰⠽⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠭⠐⠜⠐⠲⠛⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⋅</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>·</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>·</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
