# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 940
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/ueb.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 200 items. Usage info: prompt=551491, candidates=10304, total=674485, time=64968ms, TPS=6305.124223602485.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✓ | ⠭⠰⠔⠼⠃⠐⠖⠼⠓⠭⠐⠖⠼⠁⠋ | <math> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mrow> <mn>8</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>16</mn> </mrow> </math> | <math> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mrow> <mn>8</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>16</mn> </mrow> </math>
✓ | ⠼⠋⠌⠑⠚ | <math> <mfrac> <mn>6</mn> <mn>50</mn> </mfrac> </math> | <math> <mfrac> <mn>6</mn> <mn>50</mn> </mfrac> </math>
✓ | ⠽⠰⠱ | <math> <mover> <mi>y</mi> <mo>¯</mo> </mover> </math> | <math> <mover> <mi>y</mi> <mo>¯</mo> </mover> </math>
✓ | ⠼⠁⠐⠤⠷⠎⠊⠝⠐⠣⠭⠐⠜⠨⠌⠉⠎⠉⠐⠣⠭⠐⠜⠾ | <math> <mrow> <mn>1</mn> <mo>-</mo> <mfrac> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mn>1</mn> <mo>-</mo> <mfrac> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math>
✓ | ⠰⠷⠼⠁⠨⠌⠩⠔⠼⠋⠰⠁⠔⠼⠉⠬⠾ | <math> <mfrac> <mn>1</mn> <mroot> <msup> <mi>a</mi> <mn>3</mn> </msup> <mn>6</mn> </mroot> </mfrac> </math> | <math> <mfrac> <mn>1</mn> <mroot> <msup> <mi>a</mi> <mn>3</mn> </msup> <mn>6</mn> </mroot> </mfrac> </math>
✓ | ⠐⠣⠼⠙⠲⠑⠊⠂⠐⠷⠼⠚⠲⠁⠚⠨⠌⠩⠼⠁⠋⠬⠾⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mi>4</mi> <mo>⁢</mo> <mi>.59, </mi> <mo>⁢</mo> <mfrac> <mn>0.10</mn> <msqrt> <mn>16</mn> </msqrt> </mfrac> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mi>4</mi> <mo>⁢</mo> <mi>.59, </mi> <mo>⁢</mo> <mfrac> <mn>0.10</mn> <msqrt> <mn>16</mn> </msqrt> </mfrac> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠼⠉⠔⠼⠃⠌⠉⠐⠲⠼⠉⠔⠼⠙⠌⠉ | <math> <mrow> <msup> <mn>3</mn> <mfrac> <mn>2</mn> <mn>3</mn> </mfrac> </msup> <mo>·</mo> <msup> <mn>3</mn> <mfrac> <mn>4</mn> <mn>3</mn> </mfrac> </msup> </mrow> </math> | <math> <mrow> <msup> <mn>3</mn> <mfrac> <mn>2</mn> <mn>3</mn> </mfrac> </msup> <mo>·</mo> <msup> <mn>3</mn> <mfrac> <mn>4</mn> <mn>3</mn> </mfrac> </msup> </mrow> </math>
✓ | ⠰⠰⠷⠵⠔⠼⠃⠌⠉⠨⠌⠵⠔⠼⠑⠌⠉⠾ | <math> <mfrac> <msup> <mi>z</mi> <mfrac> <mn>2</mn> <mn>3</mn> </mfrac> </msup> <msup> <mi>z</mi> <mfrac> <mn>5</mn> <mn>3</mn> </mfrac> </msup> </mfrac> </math> | <math> <mfrac> <msup> <mi>z</mi> <mfrac> <mn>2</mn> <mn>3</mn> </mfrac> </msup> <msup> <mi>z</mi> <mfrac> <mn>5</mn> <mn>3</mn> </mfrac> </msup> </mfrac> </math>
✗ | ⠰⠰⠰⠐⠣⠺⠔⠼⠑⠐⠜⠔⠼⠃⠀⠐⠶⠀⠺⠔⠼⠑⠐⠲⠺⠔⠼⠑⠀⠐⠶⠀⠺⠔⠼⠁⠚⠰⠄ | <math> <mrow> <msup> <mrow> <mo>(</mo> <msup> <mi>w</mi> <mn>5</mn> </msup> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mo>=</mo> <mrow> <msup> <mi>w</mi> <mn>5</mn> </msup> <mo>⋅</mo> <msup> <mi>w</mi> <mn>5</mn> </msup> </mrow> <mo>=</mo> <msup> <mi>w</mi> <mn>10</mn> </msup> </mrow> </math> | <math> <mrow> <mrow> <msup> <mrow> <mo>(</mo> <msup> <mi>w</mi> <mn>5</mn> </msup> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mo>=</mo> <mrow> <msup> <mi>w</mi> <mn>5</mn> </msup> <mo>⋅</mo> <msup> <mi>w</mi> <mn>5</mn> </msup> </mrow> <mo>=</mo> <msup> <mi>w</mi> <mn>10</mn> </msup> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠰⠩⠭⠬ | <math> <msqrt> <mi>x</mi> </msqrt> </math> | <math> <msqrt> <mi>x</mi> </msqrt> </math>
✓ | ⠐⠣⠋⠐⠤⠛⠐⠜⠐⠣⠐⠤⠼⠙⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠰⠽⠀⠐⠶⠀⠍⠭⠐⠖⠃⠲ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mi>m</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mi>b</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mi>m</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mi>b</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠨⠁ | <math> <mi>α</mi> </math> | <math> <mi>α</mi> </math>
✓ | ⠁⠰⠢⠼⠙⠀⠐⠶⠀⠼⠁⠙ | <math> <mrow> <msub> <mi>a</mi> <mn>4</mn> </msub> <mo>=</mo> <mn>14</mn> </mrow> </math> | <math> <mrow> <msub> <mi>a</mi> <mn>4</mn> </msub> <mo>=</mo> <mn>14</mn> </mrow> </math>
✓ | ⠼⠉⠋⠸⠌⠼⠃⠁⠋⠀⠐⠶⠀⠼⠚⠲⠁⠋⠛ | <math> <mrow> <mrow> <mn>36</mn> <mo>/</mo> <mn>216</mn> </mrow> <mo>=</mo> <mn>0.167</mn> </mrow> </math> | <math> <mrow> <mrow> <mn>36</mn> <mo>/</mo> <mn>216</mn> </mrow> <mo>=</mo> <mn>0.167</mn> </mrow> </math>
✓ | ⠁⠰⠢⠼⠑⠀⠐⠶⠀⠼⠁⠛ | <math> <mrow> <msub> <mi>a</mi> <mn>5</mn> </msub> <mo>=</mo> <mn>17</mn> </mrow> </math> | <math> <mrow> <msub> <mi>a</mi> <mn>5</mn> </msub> <mo>=</mo> <mn>17</mn> </mrow> </math>
✓ | ⠐⠤⠼⠓ | <math> <mrow> <mo>-</mo> <mn>8</mn> </mrow> </math> | <math> <mrow> <mo>-</mo> <mn>8</mn> </mrow> </math>
✓ | ⠠⠁⠰⠢⠼⠚ | <math> <msub> <mi>A</mi> <mn>0</mn> </msub> </math> | <math> <msub> <mi>A</mi> <mn>0</mn> </msub> </math>
✓ | ⠼⠉⠔⠼⠙ | <math> <msup> <mn>3</mn> <mn>4</mn> </msup> </math> | <math> <msup> <mn>3</mn> <mn>4</mn> </msup> </math>
✓ | ⠼⠉⠲ | <math> <mn>3.</mn> </math> | <math> <mn>3.</mn> </math>
✓ | ⠃⠐⠦⠭ | <math> <mrow> <mi>b</mi> <mo>×</mo> <mi>x</mi> </mrow> </math> | <math> <mrow> <mi>b</mi> <mo>×</mo> <mi>x</mi> </mrow> </math>
✓ | ⠰⠽⠀⠐⠶⠀⠼⠉⠭⠐⠤⠼⠙ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </mrow> </math>
✓ | ⠁ | <math> <mi>a</mi> </math> | <math> <mi>a</mi> </math>
✗ | ⠼⠋⠑⠨⠴ | <math> <mi>65%</mi> </math> | <math> <mrow> <mn>65</mn> <mo>%</mo> </mrow> </math>
✗ | ⠰⠅⠂ | <math> <mrow> <mi>k</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>K</mi> <mo>,</mo> </mrow> </math>
✗ | ⠰⠛⠂ | <math> <mrow> <mi>g</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>G</mi> <mo>,</mo> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠰⠑⠔⠣⠐⠤⠭⠔⠼⠃⠜⠂ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>e</mi> <mrow> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </msup> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>e</mi> <mrow> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </msup> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠋⠐⠖⠛ | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math>
✗ | ⠐⠣⠼⠛⠰⠃⠔⠼⠉⠐⠤⠼⠋⠐⠜⠔⠼⠃ | <math> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>7</mn> <mo>⁢</mo> <msup> <mi>b</mi> <mn>3</mn> </msup> </mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </math> | <math> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>7</mn> <mo>⁢</mo> <msup> <mi>B</mi> <mn>3</mn> </msup> </mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </math>
✓ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠔⠣⠭⠐⠤⠼⠁⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mn>2</mn> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> </msup> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mn>2</mn> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> </msup> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠍ | <math> <mi>m</mi> </math> | <math> <mi>m</mi> </math>
✓ | ⠐⠣⠼⠃⠽⠐⠖⠼⠊⠺⠐⠜⠐⠣⠼⠃⠽⠐⠤⠼⠊⠺⠐⠜ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> <mo>+</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>w</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> <mo>-</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>w</mi> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> <mo>+</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>w</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> <mo>-</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>w</mi> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠰⠰⠁⠔⠣⠍⠸⠌⠝⠜ | <math> <msup> <mi>a</mi> <mrow> <mi>m</mi> <mo>/</mo> <mi>n</mi> </mrow> </msup> </math> | <math> <msup> <mi>a</mi> <mrow> <mi>m</mi> <mo>/</mo> <mi>n</mi> </mrow> </msup> </math>
✗ | ⠰⠃⠀⠐⠶⠀⠼⠑ | <math> <mrow> <mi>b</mi> <mo>=</mo> <mn>5</mn> </mrow> </math> | <math> <mrow> <mi>B</mi> <mo>=</mo> <mn>5</mn> </mrow> </math>
✓ | ⠛⠐⠣⠥⠐⠜⠀⠐⠶⠀⠰⠩⠥⠐⠖⠼⠃⠬⠐⠤⠼⠉ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>u</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msqrt> <mrow> <mi>u</mi> <mo>+</mo> <mn>2</mn> </mrow> </msqrt> <mo>-</mo> <mn>3</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>u</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msqrt> <mrow> <mi>u</mi> <mo>+</mo> <mn>2</mn> </mrow> </msqrt> <mo>-</mo> <mn>3</mn> </mrow> </mrow> </math>
✓ | ⠊⠀⠐⠶⠀⠰⠰⠐⠣⠷⠅⠨⠌⠼⠁⠚⠚⠾⠐⠜⠐⠣⠝⠐⠖⠼⠁⠐⠜ | <math> <mrow> <mi>i</mi> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>k</mi> <mn>100</mn> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>i</mi> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>k</mi> <mn>100</mn> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠐⠶⠀⠰⠷⠼⠉⠌⠁⠊⠨⠌⠼⠋⠌⠁⠊⠾ | <math> <mrow> <mo>=</mo> <mfrac> <mfrac> <mn>3</mn> <mn>19</mn> </mfrac> <mfrac> <mn>6</mn> <mn>19</mn> </mfrac> </mfrac> </mrow> </math> | <math> <mrow> <mo>=</mo> <mfrac> <mfrac> <mn>3</mn> <mn>19</mn> </mfrac> <mfrac> <mn>6</mn> <mn>19</mn> </mfrac> </mfrac> </mrow> </math>
✓ | ⠼⠃⠨⠏⠂ | <math> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠼⠋⠌⠃⠚ | <math> <mfrac> <mn>6</mn> <mn>20</mn> </mfrac> </math> | <math> <mfrac> <mn>6</mn> <mn>20</mn> </mfrac> </math>
✓ | ⠼⠃⠑⠋⠀⠐⠶⠀⠼⠙⠔⠣⠭⠐⠤⠼⠑⠜⠲ | <math> <mrow> <mrow> <mn>256</mn> <mo>=</mo> <msup> <mn>4</mn> <mrow> <mi>x</mi> <mo>-</mo> <mn>5</mn> </mrow> </msup> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mn>256</mn> <mo>=</mo> <msup> <mn>4</mn> <mrow> <mi>x</mi> <mo>-</mo> <mn>5</mn> </mrow> </msup> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠨⠎⠀⠐⠶⠀⠰⠰⠩⠷⠠⠨⠎⠋⠐⠣⠭⠠⠤⠨⠍⠐⠜⠔⠼⠃⠨⠌⠠⠝⠾⠬ | <math> <mrow> <mi>σ</mi> <mo>=</mo> <msqrt> <mfrac> <mrow> <mi>Σ</mi> <mo>⁢</mo> <mi>f</mi> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>–</mo> <mi>μ</mi> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mi>N</mi> </mfrac> </msqrt> </mrow> </math> | <math> <mrow> <mi>σ</mi> <mo>=</mo> <msqrt> <mfrac> <mrow> <mi>Σ</mi> <mo>⁢</mo> <mi>f</mi> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>μ</mi> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mi>N</mi> </mfrac> </msqrt> </mrow> </math>
✓ | ⠼⠁⠓⠐⠖⠼⠁⠊ | <math> <mrow> <mn>18</mn> <mo>+</mo> <mn>19</mn> </mrow> </math> | <math> <mrow> <mn>18</mn> <mo>+</mo> <mn>19</mn> </mrow> </math>
✓ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠐⠤⠼⠁⠂ | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠼⠋ | <math> <mn>6</mn> </math> | <math> <mn>6</mn> </math>
✗ | ⠈⠎⠼⠙⠙⠂⠚⠑⠑⠲ | <math> <mrow> <mi>$44,055</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>$</mi> <mo>⁢</mo> <mn>44,055</mn> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠁⠀⠐⠶⠀⠸⠣⠼⠃⠂⠀⠼⠋⠂⠀⠼⠁⠚⠂⠀⠼⠲⠲⠲⠸⠜⠆ | <math> <mrow> <mrow> <mi>a</mi> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>, </mi> <mo>⁢</mo> <mn>6</mn> <mo>⁢</mo> <mi>, </mi> <mo>⁢</mo> <mn>10</mn> <mo>⁢</mo> <mi>, </mi> <mo>⁢</mo> <mn>...</mn> </mrow> <mo>}</mo> </mrow> </mrow> <mo>;</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>a</mi> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mn>2</mn> <mo>,</mo> <mn>6</mn> <mo>,</mo> <mn>10</mn> <mo>,</mo> <mi>…</mi> </mrow> <mo>}</mo> </mrow> </mrow> <mo>;</mo> </mrow> </math>
✓ | ⠼⠉⠋⠐⠦⠼⠑⠀⠐⠶⠀⠼⠋⠔⠼⠃⠐⠦⠼⠑ | <math> <mrow> <mrow> <mn>36</mn> <mo>×</mo> <mn>5</mn> </mrow> <mo>=</mo> <mrow> <msup> <mn>6</mn> <mn>2</mn> </msup> <mo>×</mo> <mn>5</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mn>36</mn> <mo>×</mo> <mn>5</mn> </mrow> <mo>=</mo> <mrow> <msup> <mn>6</mn> <mn>2</mn> </msup> <mo>×</mo> <mn>5</mn> </mrow> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠰⠷⠭⠔⠼⠃⠐⠤⠼⠁⠨⠌⠭⠔⠼⠉⠐⠖⠼⠊⠭⠔⠼⠃⠐⠖⠼⠁⠙⠭⠾ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>1</mn> </mrow> <mrow> <msup> <mi>x</mi> <mn>3</mn> </msup> <mo>+</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>14</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>1</mn> </mrow> <mrow> <msup> <mi>x</mi> <mn>3</mn> </msup> <mo>+</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>14</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </mfrac> </mrow> </math>
✗ | ⠰⠰⠨⠍⠢⠣⠭⠱⠜ | <math> <msub> <mi>µ</mi> <mover> <mi>x</mi> <mo>¯</mo> </mover> </msub> </math> | <math> <msub> <mi>μ</mi> <mover> <mi>x</mi> <mo>¯</mo> </mover> </msub> </math>
✓ | ⠼⠙⠔⠣⠐⠤⠼⠉⠌⠃⠜ | <math> <msup> <mn>4</mn> <mrow> <mo>-</mo> <mfrac> <mn>3</mn> <mn>2</mn> </mfrac> </mrow> </msup> </math> | <math> <msup> <mn>4</mn> <mrow> <mo>-</mo> <mfrac> <mn>3</mn> <mn>2</mn> </mfrac> </mrow> </msup> </math>
✓ | ⠼⠉⠁⠲⠉ | <math> <mn>31.3</mn> </math> | <math> <mn>31.3</mn> </math>
✓ | ⠰⠰⠨⠎⠢⠣⠭⠱⠜ | <math> <msub> <mi>σ</mi> <mover> <mi>x</mi> <mo>¯</mo> </mover> </msub> </math> | <math> <msub> <mi>σ</mi> <mover> <mi>x</mi> <mo>¯</mo> </mover> </msub> </math>
✓ | ⠰⠰⠰⠀⠉⠕⠎⠐⠣⠨⠹⠐⠜⠀⠐⠶⠀⠷⠐⠤⠼⠉⠨⠌⠼⠓⠾⠂⠀⠨⠏⠀⠈⠣⠀⠨⠹⠀⠈⠣⠀⠷⠼⠉⠨⠏⠨⠌⠼⠃⠾⠂⠀⠰⠄ | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mn>8</mn> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>π</mi> <mo>&lt;</mo> <mi>θ</mi> <mo>&lt;</mo> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>2</mn> </mfrac> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mn>8</mn> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>π</mi> <mo>&lt;</mo> <mi>θ</mi> <mo>&lt;</mo> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>2</mn> </mfrac> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠼⠁⠑⠌⠓⠀⠐⠶⠀⠼⠁⠲⠓⠛⠑⠂ | <math> <mrow> <mrow> <mfrac> <mn>15</mn> <mn>8</mn> </mfrac> <mo>=</mo> <mn>1.875</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mfrac> <mn>15</mn> <mn>8</mn> </mfrac> <mo>=</mo> <mn>1.875</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠼⠃⠙⠌⠁⠃⠁ | <math> <mfrac> <mn>24</mn> <mn>121</mn> </mfrac> </math> | <math> <mfrac> <mn>24</mn> <mn>121</mn> </mfrac> </math>
✓ | ⠼⠉⠚ | <math> <mn>30</mn> </math> | <math> <mn>30</mn> </math>
